,,percentage_To,type_pre,percentage_From,percentage_max,opacity_score
l-LNv,Mi1,33.955491744436465,l-LNv,0.4025269273210542,33.955491744436465,97.3
l-LNv,Lawf1,5.049054797798516,l-LNv,0.17178073938989344,5.049054797798516,21.9
l-LNv,C3,1.2682459918640823,l-LNv,0.03513610267697326,1.2682459918640823,12.0
l-LNv,L1,0.9571667863125151,l-LNv,0.025048688388054283,0.9571667863125151,11.2
l-LNv,l-LNv,0.9332376166547021,l-LNv,0.8637873754152824,0.9332376166547021,11.1
l-LNv,aMe4,0.8614501076812634,l-LNv,0.40691759918616477,0.8614501076812634,10.9
l-LNv,C2,0.8375209380234505,l-LNv,0.034804053180593264,0.8375209380234505,10.9
l-LNv,L5,0.765733429050012,l-LNv,0.012716427637565917,0.765733429050012,10.7
Mi1,C2,1.8666523422362227,Mi1,24.188816960512316,24.188816960512316,71.8
Mi1,L1,1.289045263921236,Mi1,10.519196688563396,10.519196688563396,36.1
Mi1,C3,0.6494338652557102,Mi1,5.610506357645749,5.610506357645749,23.3
Mi1,l-LNv,0.010666584812778414,Mi1,3.078626799557032,3.078626799557032,16.7
Mi1,L5,0.38537833762426765,Mi1,1.995684362370501,1.995684362370501,13.9
Mi1,Mi1,0.29490421176624065,Mi1,1.0901416361485634,1.0901416361485634,11.5
C3,L2,21.40117430427683,C3,25.160009639380952,25.160009639380952,74.3
C3,L5,3.964840357155265,C3,4.534996006246945,4.534996006246945,20.5
C3,R1-R6,0.1493937393600389,C3,2.3533274956217163,2.3533274956217163,14.8
C3,L1,0.5336483340860925,C3,0.9618696341012845,0.9618696341012845,11.2
C3,L3,0.21609978112080047,C3,0.6142299906186738,0.6142299906186738,10.3
C3,L4,0.08407740680262654,C3,0.5292625317120112,0.5292625317120112,10.1
C2,L4,7.141860465116279,C2,20.149155804391565,20.149155804391565,61.3
C2,L1,19.748837209302327,C2,15.95350963435177,19.748837209302327,60.2
C2,L5,16.22015503875969,C2,8.314954121513415,16.22015503875969,51.0
C2,L2,15.754263565891474,C2,8.300895727221857,15.754263565891474,49.8
C2,L3,8.746511627906976,C2,11.142053029180863,11.142053029180863,37.8
C2,Mi1,6.899224806201551,C2,2.524657965579551,6.899224806201551,26.7
C2,R8p,0.2589147286821705,C2,4.180748529227688,4.180748529227688,19.6
C2,C3,0.6232558139534884,C2,0.5330080481563491,0.6232558139534884,10.3
R1-R6,L2,42.83466005297511,R1-R6,24.90187028497441,42.83466005297511,120.4
R1-R6,L1,42.019658401894176,R1-R6,37.45217266060906,42.019658401894176,118.3
R1-R6,L3,8.706465913961118,R1-R6,12.237199427245345,12.237199427245345,40.6
R1-R6,R1-R6,0.5726089186473783,R1-R6,4.4603765323993,4.4603765323993,20.3
R1-R6,L4,0.8374844552486809,R1-R6,2.6069460239699067,2.6069460239699067,15.5
Lawf1,L3,14.012291483757682,Lawf1,3.1521256110205895,14.012291483757682,45.2
Lawf1,R1-R6,5.09657594381036,Lawf1,6.353984238178634,6.353984238178634,25.3
Lawf1,Lawf1,4.635645302897278,Lawf1,0.8597178236764335,4.635645302897278,20.8
Lawf1,L2,3.722563652326602,Lawf1,0.3463641970518198,3.722563652326602,18.4
Lawf1,L1,2.4934152765583844,Lawf1,0.3556913751103708,2.4934152765583844,15.2
Lawf1,C3,0.5838454784899034,Lawf1,0.08817172935919704,0.5838454784899034,10.2
Lawf1,L5,0.5487269534679543,Lawf1,0.04967354545924186,0.5487269534679543,10.1
aMe12,aMe4,4.72646073688128,aMe12,1.435514863795637,4.72646073688128,21.0
aMe12,l-LNv,1.6002977298101972,aMe12,0.9523809523809524,1.6002977298101972,12.9
aMe12,aMe12,0.8187569780424265,aMe12,0.5986394557823129,0.8187569780424265,10.8
aMe12,Lawf1,0.5954596203944921,aMe12,0.013026027631461113,0.5954596203944921,10.2
aMe4,Lawf1,23.960127984248093,aMe4,4.755314212210273,23.960127984248093,71.2
aMe4,l-LNv,3.0642382476002954,aMe4,16.54485049833887,16.54485049833887,51.9
aMe4,aMe12,0.47994093034703417,aMe4,3.183673469387755,3.183673469387755,17.0
aMe4,Mi1,2.543276724915908,aMe4,0.1758750492875642,2.543276724915908,15.3
aMe4,aMe4,0.3855935679711215,aMe4,1.0625070645416526,1.0625070645416526,11.5
R8p,aMe12,2.032808327429288,R8p,10.149659863945578,10.149659863945578,35.2
R8p,L1,6.321870401656766,R8p,0.7264119632535742,6.321870401656766,25.2
R8p,Mi1,6.131124311951605,R8p,0.31912811362662863,6.131124311951605,24.7
R8p,L3,2.1418060929750937,R8p,0.38809065323655756,2.1418060929750937,14.3
R8p,C2,1.0463785492397406,R8p,0.1909250917335402,1.0463785492397406,11.4
R8p,L2,0.5667883808381928,R8p,0.04247862794031752,0.5667883808381928,10.2
L1,C3,16.039294400421102,L1,33.53310086050305,33.53310086050305,96.2
L1,C2,9.077475797731504,L1,28.466732297166953,28.466732297166953,83.0
L1,L5,22.625672637563696,L1,28.354851913226277,28.354851913226277,82.7
L1,Mi1,23.580128296597888,L1,21.09451014543732,23.580128296597888,70.2
L1,R1-R6,0.2939469753902646,L1,5.073336252189142,5.073336252189142,21.9
L2,L4,1.3245391063339753,L2,19.294025019683318,19.294025019683318,59.0
L2,R1-R6,0.5227890691742125,L2,19.05647985989492,19.05647985989492,58.4
L2,L5,6.860968435971852,L2,18.159456054807805,18.159456054807805,56.1
L2,C3,0.5565706718635284,L2,2.4575383513875444,2.4575383513875444,15.1
L2,L1,0.29682768229678863,L2,1.2380314235795828,1.2380314235795828,11.9
L2,L3,0.09654031346324486,L2,0.6349676591122303,0.6349676591122303,10.4
L3,Mi1,5.049245412668924,L3,5.065201419481849,5.065201419481849,21.9
L3,C3,2.0224128131388968,L3,4.741385025390806,4.741385025390806,21.1
L3,Lawf1,0.8865022607928468,L3,2.5522872890394117,2.5522872890394117,15.4
L3,L4,0.27542366890342357,L3,2.1301723383780944,2.1301723383780944,14.3
L3,R8p,0.04298192779601682,L3,1.9026160971335586,1.9026160971335586,13.7
L4,R1-R6,5.631803984595324,L4,50.82092819614711,50.82092819614711,141.3
L4,L4,2.8061982593929105,L4,10.119412124923453,10.119412124923453,35.1
L4,L2,6.315917154380325,L4,4.253581070869872,6.315917154380325,25.2
L4,L3,1.7224125905934438,L4,2.804522786747642,2.804522786747642,16.0
L4,C3,0.9097249598204808,L4,0.9944180002916959,0.9944180002916959,11.3
L4,L1,0.6859326197046427,L4,0.7082516641722347,0.7082516641722347,10.5
L5,C2,4.078538525256841,L5,21.64116026769289,21.64116026769289,65.2
L5,L1,5.333978013410845,L5,17.823394222520022,17.823394222520022,55.2
L5,Mi1,7.431811963313207,L5,11.249195087980075,11.249195087980075,38.0
L5,C3,2.6977237545867863,L5,9.543098076132642,9.543098076132642,33.6
L5,L5,1.3326511718559664,L5,2.825828654085351,2.825828654085351,16.1
L5,L2,1.1748544784650616,L5,2.560562678440871,2.560562678440871,15.4
